antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"any_harmful=1, engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0",label=Conspiracy,0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy",0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","engagement=low, label=Conspiracy",0.027266900741236135,0.13541492504040573,0.01500585186423675,0.5503321410321922,4.064043463953339,1.0,0.011313506544278075,1.9227193087453707,0.7750734914152677,0.10161335975091991,0.47990328309932634,0.3305730053859387
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","engagement=low, label=Conspiracy",0.027266900741236135,0.13541492504040573,0.01500585186423675,0.5503321410321922,4.064043463953339,1.0,0.011313506544278075,1.9227193087453707,0.7750734914152677,0.10161335975091991,0.47990328309932634,0.3305730053859387
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, engagement=low, label=Conspiracy",0.027266900741236135,0.13541492504040573,0.01500585186423675,0.5503321410321922,4.064043463953339,1.0,0.011313506544278075,1.9227193087453707,0.7750734914152677,0.10161335975091991,0.47990328309932634,0.3305730053859387
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0",0.027266900741236135,0.19301398874212786,0.02138717048431143,0.7843638221768013,4.063766710840495,1.0,0.016124277211609764,3.742349819980229,0.7750562643337756,0.10753064798598949,0.7327882084509986,0.44758507285841437
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0",0.027266900741236135,0.19301398874212786,0.02138717048431143,0.7843638221768013,4.063766710840495,1.0,0.016124277211609764,3.742349819980229,0.7750562643337756,0.10753064798598949,0.7327882084509986,0.44758507285841437
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0",0.027266900741236135,0.19301398874212786,0.02138717048431143,0.7843638221768013,4.063766710840495,1.0,0.016124277211609764,3.742349819980229,0.7750562643337756,0.10753064798598949,0.7327882084509986,0.44758507285841437
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, sensitive=0",0.02719723569079864,0.19301398874212786,0.021331438443961435,0.7843237704918034,4.06355920419676,1.0,0.01608199150052063,3.741654855048378,0.7749878431446656,0.1072579515202466,0.732738577249913,0.4474206739559284
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, sensitive=0",0.02719723569079864,0.19301398874212786,0.021331438443961435,0.7843237704918034,4.06355920419676,1.0,0.01608199150052063,3.741654855048378,0.7749878431446656,0.1072579515202466,0.732738577249913,0.4474206739559284
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0",0.02719723569079864,0.19301398874212786,0.021331438443961435,0.7843237704918034,4.06355920419676,1.0,0.01608199150052063,3.741654855048378,0.7749878431446656,0.1072579515202466,0.732738577249913,0.4474206739559284
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism",0.023700050158836316,0.1961628490219027,0.018879228668561555,0.7965902410346853,4.060861906352826,1.0,0.014230159307442225,3.9518121208489667,0.7720443486919778,0.09393414211438475,0.7469515327603251,0.44641643595167746
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism",0.023700050158836316,0.1961628490219027,0.018879228668561555,0.7965902410346853,4.060861906352826,1.0,0.014230159307442225,3.9518121208489667,0.7720443486919778,0.09393414211438475,0.7469515327603251,0.44641643595167746
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism",0.023700050158836316,0.1961628490219027,0.018879228668561555,0.7965902410346853,4.060861906352826,1.0,0.014230159307442225,3.9518121208489667,0.7720443486919778,0.09393414211438475,0.7469515327603251,0.44641643595167746
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism",0.023630385108398818,0.1961628490219027,0.018823496628211558,0.7965801886792453,4.06081066140257,1.0,0.014188092961863304,3.9516168349531973,0.7719860797005463,0.09366333887964502,0.7469390272977101,0.4462693542302399
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism",0.023630385108398818,0.1961628490219027,0.018823496628211558,0.7965801886792453,4.06081066140257,1.0,0.014188092961863304,3.9516168349531973,0.7719860797005463,0.09366333887964502,0.7469390272977101,0.4462693542302399
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism",0.023630385108398818,0.1961628490219027,0.018823496628211558,0.7965801886792453,4.06081066140257,1.0,0.014188092961863304,3.9516168349531973,0.7719860797005463,0.09366333887964502,0.7469390272977101,0.4462693542302399
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0, verified=0",0.027266900741236135,0.170108120158279,0.01876776458786156,0.6882984159427695,4.046240798512938,1.0,0.014129443360227497,2.662456407951226,0.7739605270286659,0.10507839925111162,0.6244069961057108,0.3993134310854809
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0, verified=0",0.027266900741236135,0.170108120158279,0.01876776458786156,0.6882984159427695,4.046240798512938,1.0,0.014129443360227497,2.662456407951226,0.7739605270286659,0.10507839925111162,0.6244069961057108,0.3993134310854809
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0, verified=0",0.027266900741236135,0.170108120158279,0.01876776458786156,0.6882984159427695,4.046240798512938,1.0,0.014129443360227497,2.662456407951226,0.7739605270286659,0.10507839925111162,0.6244069961057108,0.3993134310854809
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.027266900741236135,0.17094410076352895,0.018823496628211558,0.6903423607562595,4.038409969532828,1.0,0.014162380800392546,2.6773306844979765,0.7734678617958968,0.10493203883495145,0.6264936543736999,0.4002286422739648
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.027266900741236135,0.17094410076352895,0.018823496628211558,0.6903423607562595,4.038409969532828,1.0,0.014162380800392546,2.6773306844979765,0.7734678617958968,0.10493203883495145,0.6264936543736999,0.4002286422739648
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.027266900741236135,0.17094410076352895,0.018823496628211558,0.6903423607562595,4.038409969532828,1.0,0.014162380800392546,2.6773306844979765,0.7734678617958968,0.10493203883495145,0.6264936543736999,0.4002286422739648
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.02719723569079864,0.17094410076352895,0.01876776458786156,0.690061475409836,4.036766828031197,1.0,0.014118557589444233,2.6749043228257703,0.7733088606039031,0.10462948578530372,0.6261548529169075,0.399925187130299
