week,sentiment_5bin,count,share
2024-11-25 00:00:00+00:00,very_negative,475,0.13216471897607124
2024-11-25 00:00:00+00:00,very_positive,530,0.14746800222593212
2024-12-02 00:00:00+00:00,negative,693,0.1928750347898692
2024-12-02 00:00:00+00:00,neutral,820,0.2282215418870025
2024-12-02 00:00:00+00:00,positive,1053,0.2930698580573337
2024-12-02 00:00:00+00:00,very_negative,435,0.12106874478151962
2024-12-02 00:00:00+00:00,very_positive,592,0.164764820484275
2024-12-09 00:00:00+00:00,negative,734,0.20321151716500555
2024-12-09 00:00:00+00:00,neutral,704,0.19490586932447398
2024-12-09 00:00:00+00:00,positive,927,0.25664451827242524
2024-12-09 00:00:00+00:00,very_negative,559,0.15476190476190477
2024-12-09 00:00:00+00:00,very_positive,688,0.19047619047619047
2024-12-16 00:00:00+00:00,negative,863,0.24678295682013154
2024-12-16 00:00:00+00:00,neutral,665,0.19016299685444668
2024-12-16 00:00:00+00:00,positive,901,0.2576494137832428
2024-12-16 00:00:00+00:00,very_negative,460,0.1315413211323992
2024-12-16 00:00:00+00:00,very_positive,608,0.1738633114097798
2024-12-23 00:00:00+00:00,negative,891,0.25863570391872276
2024-12-23 00:00:00+00:00,neutral,645,0.18722786647314948
2024-12-23 00:00:00+00:00,positive,852,0.24731494920174166
2024-12-23 00:00:00+00:00,very_negative,492,0.14281567489114658
2024-12-23 00:00:00+00:00,very_positive,565,0.16400580551523947
2024-12-30 00:00:00+00:00,negative,767,0.2345565749235474
2024-12-30 00:00:00+00:00,neutral,572,0.1749235474006116
2024-12-30 00:00:00+00:00,positive,843,0.25779816513761467
2024-12-30 00:00:00+00:00,very_negative,425,0.12996941896024464
2024-12-30 00:00:00+00:00,very_positive,663,0.20275229357798166
2025-01-06 00:00:00+00:00,negative,685,0.2320460704607046
2025-01-06 00:00:00+00:00,neutral,565,0.19139566395663957
2025-01-06 00:00:00+00:00,positive,753,0.2550813008130081
2025-01-06 00:00:00+00:00,very_negative,435,0.14735772357723578
2025-01-06 00:00:00+00:00,very_positive,514,0.17411924119241193
2025-01-13 00:00:00+00:00,negative,720,0.21226415094339623
2025-01-13 00:00:00+00:00,neutral,639,0.18838443396226415
2025-01-13 00:00:00+00:00,positive,944,0.2783018867924528
2025-01-13 00:00:00+00:00,very_negative,541,0.15949292452830188
2025-01-13 00:00:00+00:00,very_positive,548,0.1615566037735849
2025-01-20 00:00:00+00:00,negative,731,0.22402696904688937
2025-01-20 00:00:00+00:00,neutral,553,0.1694759423843089
2025-01-20 00:00:00+00:00,positive,857,0.2626417407293901
2025-01-20 00:00:00+00:00,very_negative,573,0.1756052712228011
2025-01-20 00:00:00+00:00,very_positive,549,0.16825007661661048
2025-01-27 00:00:00+00:00,negative,729,0.22205300030459946
2025-01-27 00:00:00+00:00,neutral,638,0.19433445019798964
2025-01-27 00:00:00+00:00,positive,868,0.26439232409381663
2025-01-27 00:00:00+00:00,very_negative,502,0.15290892476393542
2025-01-27 00:00:00+00:00,very_positive,546,0.16631130063965885
2025-02-03 00:00:00+00:00,negative,834,0.2467455621301775
2025-02-03 00:00:00+00:00,neutral,591,0.17485207100591715
2025-02-03 00:00:00+00:00,positive,870,0.257396449704142
2025-02-03 00:00:00+00:00,very_negative,544,0.16094674556213018
2025-02-03 00:00:00+00:00,very_positive,541,0.16005917159763314
2025-02-10 00:00:00+00:00,negative,739,0.23542529467983433
2025-02-10 00:00:00+00:00,neutral,519,0.1653392800254858
2025-02-10 00:00:00+00:00,positive,852,0.2714240203886588
2025-02-10 00:00:00+00:00,very_negative,498,0.15864925135393437
2025-02-10 00:00:00+00:00,very_positive,531,0.16916215355208666
2025-02-17 00:00:00+00:00,negative,879,0.2709617755856967
2025-02-17 00:00:00+00:00,neutral,561,0.17293464858199753
2025-02-17 00:00:00+00:00,positive,836,0.25770653514180025
2025-02-17 00:00:00+00:00,very_negative,445,0.13717632552404438
2025-02-17 00:00:00+00:00,very_positive,523,0.16122071516646116
2025-02-24 00:00:00+00:00,negative,708,0.22979552093476144
2025-02-24 00:00:00+00:00,neutral,484,0.15709185329438494
2025-02-24 00:00:00+00:00,positive,809,0.2625770853618955
2025-02-24 00:00:00+00:00,very_negative,603,0.19571567672833495
2025-02-24 00:00:00+00:00,very_positive,477,0.15481986368062317
2025-03-03 00:00:00+00:00,negative,748,0.24532633650377172
2025-03-03 00:00:00+00:00,neutral,493,0.16169235815021318
2025-03-03 00:00:00+00:00,positive,810,0.26566087241718594
2025-03-03 00:00:00+00:00,very_negative,484,0.15874057067891112
2025-03-03 00:00:00+00:00,very_positive,514,0.168579862249918
2025-03-10 00:00:00+00:00,negative,234,0.26440677966101694
2025-03-10 00:00:00+00:00,neutral,120,0.13559322033898305
2025-03-10 00:00:00+00:00,positive,246,0.27796610169491526
2025-03-10 00:00:00+00:00,very_negative,155,0.1751412429378531
2025-03-10 00:00:00+00:00,very_positive,130,0.14689265536723164
